City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hawaiian paradise park,19.5933,-154.9731,27.63,77,100,2.57,US,1691617492
1,kailua-kona,19.6406,-155.9956,30.98,66,40,6.69,US,1691617757
2,colonia,50.9333,6.95,16.36,78,20,2.06,DE,1691617387
3,novo aripuana,-5.1206,-60.3797,31.8,42,82,0.98,BR,1691617757
4,inarajan village,13.2736,144.7484,26.54,95,100,7.91,GU,1691617724
5,adamstown,-25.066,-130.1015,18.84,67,67,9.95,PN,1691617757
6,albany,42.6001,-73.9662,27.71,55,40,4.74,US,1691617638
7,bethel,41.3712,-73.414,29.79,52,0,4.12,US,1691617468
8,port augusta,-32.5,137.7667,8.75,87,1,2.03,AU,1691617757
9,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,67,40,1.0,RU,1691617528
10,avarua,-21.2078,-159.775,25.03,69,75,7.72,CK,1691617758
11,caminauit,12.3314,121.0825,27.04,84,65,4.51,PH,1691617758
12,remire-montjoly,4.9167,-52.2667,29.02,74,20,5.14,GF,1691617677
13,atafu village,-8.5421,-172.5159,28.24,79,100,6.48,TK,1691617758
14,bandar lampung,-5.4254,105.258,22.5,97,67,0.5,ID,1691617758
15,tiksi,71.6872,128.8694,17.61,49,10,3.05,RU,1691617569
16,ajka,47.102,17.5589,15.85,87,100,0.65,HU,1691617758
17,kirakira,-10.4544,161.9205,25.16,88,100,4.19,SB,1691617689
18,usinsk,65.9939,57.5281,10.88,76,59,3.53,RU,1691617759
19,puerto baquerizo moreno,-0.9,-89.6,27.55,69,75,7.2,EC,1691617759
20,bakanas,44.8081,76.2772,26.64,30,7,3.91,KZ,1691617759
21,prince rupert,54.3161,-130.3201,15.05,91,100,5.66,CA,1691617759
22,yellowknife,62.456,-114.3525,21.29,43,75,8.23,CA,1691617759
23,boryeong,36.3493,126.5977,23.98,92,100,10.1,KR,1691617759
24,iqaluit,63.7506,-68.5145,4.85,100,100,4.12,CA,1691617642
25,kidal,18.4411,1.4078,35.27,33,100,3.43,ML,1691617570
26,galle,6.0367,80.217,26.36,86,100,3.37,LK,1691617760
27,lihue,21.9789,-159.3672,32.58,62,75,9.77,US,1691617760
